code,name_es
CUARTOS_TECNICOS,Cuartos técnicos
APARCAMIENTO,Aparcamiento
OFICINAS,Oficinas
ASEOS,Aseos
CUBIERTA,Cubierta
ZONAS_EXTERIORES,Zonas exteriores
VESTIBULO_PRINCIPAL,Vestíbulo principal
NUCLEO_ESCALERAS,Núcleo escaleras
GENERAL,General
VESTIBULO_PLANTA,Vestíbulo de planta
SALAS_PERSONAL,Salas de personal
ALMACEN,Almacén
VESTUARIOS,Vestuarios
HABITACIONES,Habitaciones
COCINA,Cocina
RESTAURANTE,Restaurante
GIMNASIO,Gimnasio
PISCINA,Piscina
ZONA_COMERCIAL,Zona comercial
SALAS_USO_SANITARIO,Salas uso sanitario
