code,name_es,level,parent_code
HC,Hard Costs,1,
MA,Medioambiental,1,
ESG,ESG & Energía,1,
SC,Soft Costs,1,
OP,Operativos,1,
IMP,Imprevistos,1,
HC.H01,Estructura,2,HC
HC.H01.01,Cimentación,3,HC.H01
HC.H01.02,Solera,3,HC.H01
HC.H01.03,Forjados,3,HC.H01
HC.H01.04,Estructura,3,HC.H01
HC.H01.05,General,3,HC.H01
HC.H02,Cubierta,2,HC
HC.H02.01,Cubierta,3,HC.H02
HC.H02.02,General,3,HC.H02
HC.H03,Fachadas,2,HC
HC.H03.01,Fachadas,3,HC.H03
HC.H03.02,General,3,HC.H03
HC.H04,Interiores,2,HC
HC.H04.01,Particiones interiores y revestimientos interiores,3,HC.H04
HC.H04.02,Carpintería y cerrajería,3,HC.H04
HC.H04.03,Suelos y techos,3,HC.H04
HC.H04.04,General,3,HC.H04
HC.H05,Zonas exteriores,2,HC
HC.H05.01,Exteriores,3,HC.H05
HC.H05.02,General,3,HC.H05
HC.H06,Protección pasiva contra incendios,2,HC
HC.H06.01,Sectorización,3,HC.H06
HC.H06.02,Zonas de riesgo especial,3,HC.H06
HC.H06.03,Espacios ocultos y pasos de instalaciones,3,HC.H06
HC.H06.04,Resistencia al fuego de la estructura,3,HC.H06
HC.H06.05,Reacción al fuego de los elementos constructivos,3,HC.H06
HC.H06.06,Propagación exterior horizontal,3,HC.H06
HC.H06.07,Propagación exterior vertical,3,HC.H06
HC.H06.08,Propagación exterior por cubierta,3,HC.H06
HC.H06.09,Evacuación de ocupantes,3,HC.H06
HC.H06.10,General,3,HC.H06
HC.H07,Accesibilidad,2,HC
HC.H07.01,Accesibilidad desde el exterior,3,HC.H07
HC.H07.02,Accesibilidad entre las plantas,3,HC.H07
HC.H07.03,Accesibilidad en las plantas,3,HC.H07
HC.H07.04,Dotación de plazas de aparcamiento accesibles,3,HC.H07
HC.H07.05,Dotación de servicios higiénicos accesibles,3,HC.H07
HC.H07.06,Mobiliario fijo,3,HC.H07
HC.H07.07,Evacuación de personas con discapacidad,3,HC.H07
HC.H07.08,Señalética SIA,3,HC.H07
HC.H07.09,Instalaciones,3,HC.H07
HC.H07.10,General,3,HC.H07
HC.H08,HVAC,2,HC
HC.H08.01,Producción de climatización,3,HC.H08
HC.H08.02,Producción de calor,3,HC.H08
HC.H08.03,Distribución,3,HC.H08
HC.H08.04,Grupos de presión,3,HC.H08
HC.H08.05,Elementos terminales,3,HC.H08
HC.H08.06,Humectación,3,HC.H08
HC.H08.07,Ventilación aire primario,3,HC.H08
HC.H08.08,Extracción,3,HC.H08
HC.H08.09,Ventilación natural de humos,3,HC.H08
HC.H08.10,General,3,HC.H08
HC.H09,Electricidad,2,HC
HC.H09.01,Acometida-Centro de transformación,3,HC.H09
